start_station_id,start_station_name,end_station_id,end_station_name,bike_id,user_type,member_gender,bike_share,distance,start_weekday,duration_minutes,user_age
43,San Francisco Public Library (Grove St at Hyde St),74,Laguna St at Hayes St,293,Subscriber,Male,No,0.94,Monday,7,55
126,Esprit Park,50,2nd St at Townsend St,4617,Customer,Male,No,2.1,Saturday,12,23
77,11th St at Natoma St,17,Embarcadero BART Station (Beale St at Market St),4831,Subscriber,Female,No,2.67,Monday,15,28
120,Mission Dolores Park,147,29th St at Tiffany Ave,5404,Subscriber,Male,No,1.98,Sunday,8,44
196,Grand Ave at Perkins St,182,19th Street BART Station,1734,Customer,Male,No,1.04,Tuesday,5,33
21,Montgomery St BART Station (Market St at 2nd St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5565,Customer,Male,No,1.52,Saturday,9,28
28,The Embarcadero at Bryant St,90,Townsend St at 7th St,293,Subscriber,Male,No,2.2,Friday,11,37
233,4th Ave at E 12th St (Temporary Location),163,Lake Merritt BART Station,4542,Subscriber,Female,No,0.87,Tuesday,4,24
286,San Carlos St at 11th St,316,San Salvador St at 1st St,71,Subscriber,Female,No,1.07,Sunday,9,62
21,Montgomery St BART Station (Market St at 2nd St),6,The Embarcadero at Sansome St,6332,Subscriber,Male,No,1.7,Thursday,6,44
243,Bancroft Way at College Ave,253,Haste St at College Ave,4855,Subscriber,Other,Yes,0.33,Monday,2,22
126,Esprit Park,14,Clay St at Battery St,3658,Customer,Male,No,3.8,Wednesday,25,35
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),74,Laguna St at Hayes St,4567,Subscriber,Other,No,2.7,Thursday,14,34
27,Beale St at Harrison St,17,Embarcadero BART Station (Beale St at Market St),5233,Subscriber,Male,No,0.65,Monday,3,35
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,4795,Subscriber,Female,No,1.39,Friday,8,23
363,Salesforce Transit Center (Natoma St at 2nd St),30,San Francisco Caltrain (Townsend St at 4th St),4928,Subscriber,Male,No,1.24,Tuesday,6,40
112,Harrison St at 17th St,106,Sanchez St at 17th St,5901,Subscriber,Male,Yes,1.55,Monday,9,37
223,16th St Mission BART Station 2,356,Valencia St at Clinton Park,5136,Subscriber,Female,No,0.53,Wednesday,4,34
362,Lane St at Revere Ave,363,Salesforce Transit Center (Natoma St at 2nd St),4947,Subscriber,Male,No,6.24,Tuesday,24,35
175,49th St at Telegraph Ave,273,Fulton St at Ashby Ave,5435,Subscriber,Male,No,2.19,Sunday,10,40
371,Lombard St at Columbus Ave,14,Clay St at Battery St,6326,Subscriber,Male,No,1.47,Sunday,5,25
146,30th St at San Jose Ave,6,The Embarcadero at Sansome St,5417,Subscriber,Male,No,7.16,Friday,31,32
28,The Embarcadero at Bryant St,66,3rd St at Townsend St,5304,Subscriber,Male,No,1.02,Sunday,4,30
190,West St at 40th St,181,Grand Ave at Webster St,927,Subscriber,Male,No,2.16,Wednesday,14,29
43,San Francisco Public Library (Grove St at Hyde St),75,Market St at Franklin St,157,Subscriber,Male,No,0.72,Thursday,6,41
365,Turk St at Fillmore St,10,Washington St at Kearny St,5358,Subscriber,Male,No,2.91,Thursday,11,29
92,Mission Bay Kids Park,25,Howard St at 2nd St,5825,Customer,Male,No,1.74,Monday,8,42
50,2nd St at Townsend St,30,San Francisco Caltrain (Townsend St at 4th St),1699,Subscriber,Male,No,0.62,Friday,2,54
5,Powell St BART Station (Market St at 5th St),383,Golden Gate Ave at Franklin St,4836,Subscriber,Female,Yes,1.23,Sunday,55,26
25,Howard St at 2nd St,30,San Francisco Caltrain (Townsend St at 4th St),5340,Subscriber,Male,No,1.23,Monday,11,49
27,Beale St at Harrison St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5149,Subscriber,Female,No,1.31,Wednesday,7,37
126,Esprit Park,114,Rhode Island St at 17th St,6365,Customer,Male,No,1.09,Tuesday,7,23
386,24th St at Bartlett St,133,Valencia St at 22nd St,6089,Subscriber,Male,No,0.36,Thursday,3,57
243,Bancroft Way at College Ave,249,Russell St at College Ave,4646,Subscriber,Female,Yes,1.21,Thursday,4,42
17,Embarcadero BART Station (Beale St at Market St),3,Powell St BART Station (Market St at 4th St),6528,Customer,Male,No,0.95,Monday,6,60
123,Folsom St at 19th St,99,Folsom St at 15th St,400,Customer,Female,No,0.72,Thursday,4,25
22,Howard St at Beale St,28,The Embarcadero at Bryant St,2473,Subscriber,Female,No,0.64,Monday,5,47
29,O'Farrell St at Divisadero St,53,Grove St at Divisadero,4806,Subscriber,Male,No,0.73,Friday,2,35
373,Potrero del Sol Park (25th St at Utah St),85,Church St at Duboce Ave,5328,Subscriber,Other,Yes,2.93,Tuesday,21,55
22,Howard St at Beale St,115,Jackson Playground,5964,Customer,Male,No,2.77,Thursday,16,40
286,San Carlos St at 11th St,313,Almaden Blvd at San Fernando St,3928,Subscriber,Male,No,1.57,Tuesday,7,41
285,Webster St at O'Farrell St,74,Laguna St at Hayes St,5319,Subscriber,Male,No,0.9,Wednesday,6,31
14,Clay St at Battery St,371,Lombard St at Columbus Ave,5916,Subscriber,Male,No,1.47,Tuesday,7,25
189,Genoa St at 55th St,181,Grand Ave at Webster St,5456,Customer,Male,No,3.2,Wednesday,13,37
90,Townsend St at 7th St,350,8th St at Brannan St,3676,Subscriber,Male,No,0.27,Saturday,4,44
24,Spear St at Folsom St,11,Davis St at Jackson St,5577,Subscriber,Male,No,1.1,Thursday,5,50
85,Church St at Duboce Ave,58,Market St at 10th St,1052,Subscriber,Male,No,1.26,Monday,9,19
141,Valencia St at Cesar Chavez St,137,Jersey St at Castro St,5468,Subscriber,Female,No,1.24,Monday,7,30
106,Sanchez St at 17th St,139,Garfield Square (25th St at Harrison St),4745,Customer,Male,No,2.14,Sunday,12,32
271,San Pablo Park,258,University Ave at Oxford St,4673,Subscriber,Female,No,2.35,Sunday,22,35
139,Garfield Square (25th St at Harrison St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),6092,Subscriber,Male,No,3.34,Sunday,13,34
195,Bay Pl at Vernon St,197,El Embarcadero at Grand Ave,6425,Subscriber,Male,No,1.05,Saturday,4,32
285,Webster St at O'Farrell St,10,Washington St at Kearny St,6512,Subscriber,Male,No,2.67,Wednesday,12,29
74,Laguna St at Hayes St,4,Cyril Magnin St at Ellis St,6195,Subscriber,Male,No,1.85,Saturday,7,29
356,Valencia St at Clinton Park,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),3670,Subscriber,Male,No,2.49,Tuesday,12,38
303,San Pedro St at Hedding St,291,Autumn Parkway at Coleman Ave,2599,Subscriber,Male,No,1.27,Thursday,11,54
173,Shattuck Ave at 55th St,171,Rockridge BART Station,5513,Subscriber,Female,No,1.19,Tuesday,7,29
15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,5305,Subscriber,Male,No,2.17,Tuesday,11,27
324,Union Square (Powell St at Post St),5,Powell St BART Station (Market St at 5th St),5193,Subscriber,Male,No,0.49,Sunday,24,33
217,27th St at MLK Jr Way,183,Telegraph Ave at 19th St,786,Subscriber,Male,No,0.94,Monday,4,31
3,Powell St BART Station (Market St at 4th St),22,Howard St at Beale St,472,Subscriber,Female,No,0.98,Sunday,7,49
363,Salesforce Transit Center (Natoma St at 2nd St),15,San Francisco Ferry Building (Harry Bridges Plaza),4852,Subscriber,Male,No,0.95,Monday,6,48
123,Folsom St at 19th St,110,17th & Folsom Street Park (17th St at Folsom St),5470,Subscriber,Male,No,0.35,Tuesday,1,26
64,5th St at Brannan St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5864,Subscriber,Male,No,0.31,Thursday,3,69
28,The Embarcadero at Bryant St,96,Dolores St at 15th St,2119,Subscriber,Male,No,4.11,Wednesday,29,34
239,Bancroft Way at Telegraph Ave,247,Fulton St at Bancroft Way,1246,Customer,Male,No,0.64,Thursday,3,19
305,Ryland Park,310,San Fernando St at 4th St,2244,Subscriber,Male,Yes,1.16,Thursday,9,24
90,Townsend St at 7th St,43,San Francisco Public Library (Grove St at Hyde St),5382,Subscriber,Male,No,1.44,Saturday,10,26
14,Clay St at Battery St,50,2nd St at Townsend St,479,Subscriber,Male,No,1.82,Thursday,12,35
79,7th St at Brannan St,44,Civic Center/UN Plaza BART Station (Market St at McAllister St),5848,Customer,Other,No,1.1,Saturday,4,36
66,3rd St at Townsend St,58,Market St at 10th St,5912,Subscriber,Male,No,2.18,Monday,13,29
11,Davis St at Jackson St,43,San Francisco Public Library (Grove St at Hyde St),5959,Subscriber,Male,No,2.57,Thursday,12,48
321,5th St at Folsom,3,Powell St BART Station (Market St at 4th St),5487,Subscriber,Male,No,0.71,Saturday,7,50
124,19th St at Florida St,23,The Embarcadero at Steuart St,5332,Subscriber,Male,No,3.86,Friday,14,30
64,5th St at Brannan St,5,Powell St BART Station (Market St at 5th St),1014,Subscriber,Male,No,1.15,Wednesday,9,55
59,S Van Ness Ave at Market St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6115,Subscriber,Male,No,2.07,Thursday,10,52
20,Mechanics Monument Plaza (Market St at Bush St),27,Beale St at Harrison St,5031,Subscriber,Male,No,0.73,Friday,4,35
58,Market St at 10th St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),4743,Subscriber,Male,No,1.92,Friday,9,24
125,20th St at Bryant St,144,Precita Park,4373,Subscriber,Male,No,1.33,Wednesday,6,35
95,Sanchez St at 15th St,3,Powell St BART Station (Market St at 4th St),1544,Subscriber,Male,No,3.21,Tuesday,10,30
13,Commercial St at Montgomery St,106,Sanchez St at 17th St,6400,Subscriber,Male,No,4.22,Monday,18,38
66,3rd St at Townsend St,26,1st St at Folsom St,6083,Customer,Male,No,0.96,Friday,6,36
249,Russell St at College Ave,188,Dover St at 57th St,920,Subscriber,Other,No,2.17,Thursday,12,57
92,Mission Bay Kids Park,371,Lombard St at Columbus Ave,5250,Subscriber,Male,No,3.84,Monday,19,43
182,19th Street BART Station,196,Grand Ave at Perkins St,1074,Customer,Male,No,1.04,Saturday,6,34
17,Embarcadero BART Station (Beale St at Market St),58,Market St at 10th St,6220,Subscriber,Male,No,2.49,Thursday,10,27
107,17th St at Dolores St,118,Eureka Valley Recreation Center,5534,Subscriber,Male,No,1.01,Saturday,5,43
385,Woolsey St at Sacramento St,255,Virginia St at Shattuck Ave,4562,Subscriber,Male,No,2.99,Saturday,10,36
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),58,Market St at 10th St,5274,Subscriber,Male,No,0.7,Wednesday,4,23
255,Virginia St at Shattuck Ave,247,Fulton St at Bancroft Way,5106,Subscriber,Male,Yes,1.03,Tuesday,7,22
88,11th St at Bryant St,134,Valencia St at 24th St,5354,Subscriber,Male,No,2.11,Tuesday,12,26
49,S Park St at 3rd St,47,4th St at Harrison St,6492,Subscriber,Male,No,0.42,Monday,27,31
89,Division St at Potrero Ave,80,Townsend St at 5th St,2825,Subscriber,Male,No,1.12,Friday,4,33
339,Jackson St at 11th St,232,MLK Jr Way at 14th St,4642,Subscriber,Female,No,1.09,Thursday,4,45
16,Steuart St at Market St,91,Berry St at King St,5855,Subscriber,Male,No,2.51,Tuesday,10,30
246,Berkeley Civic Center,351,10th St at University Ave,4673,Subscriber,Male,No,2.01,Monday,16,40
58,Market St at 10th St,3,Powell St BART Station (Market St at 4th St),5299,Subscriber,Female,No,1.54,Monday,5,19
370,Jones St at Post St,4,Cyril Magnin St at Ellis St,4902,Subscriber,Male,No,0.42,Saturday,9,34
323,Broadway at Kearny,21,Montgomery St BART Station (Market St at 2nd St),6555,Subscriber,Other,No,1.04,Wednesday,11,32
323,Broadway at Kearny,3,Powell St BART Station (Market St at 4th St),4944,Customer,Male,No,1.3,Sunday,18,39
116,Mississippi St at 17th St,17,Embarcadero BART Station (Beale St at Market St),6209,Subscriber,Female,No,3.06,Monday,17,30
340,Harmon St at Adeline St,18,Telegraph Ave at Alcatraz Ave,3596,Subscriber,Female,No,0.92,Sunday,5,32
72,Page St at Scott St,119,18th St at Noe St,6113,Subscriber,Male,No,1.29,Saturday,6,32
30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),6323,Customer,Male,No,2.09,Friday,12,44
179,Telegraph Ave at 27th St,182,19th Street BART Station,6034,Subscriber,Other,No,0.79,Thursday,28,45
102,Irwin St at 8th St,97,14th St at Mission St,4610,Subscriber,Male,No,1.81,Tuesday,7,43
47,4th St at Harrison St,30,San Francisco Caltrain (Townsend St at 4th St),1044,Subscriber,Male,No,0.62,Tuesday,3,36
74,Laguna St at Hayes St,58,Market St at 10th St,5762,Subscriber,Other,No,0.78,Tuesday,5,45
108,16th St Mission BART,336,Potrero Ave and Mariposa St,5312,Subscriber,Male,No,1.12,Sunday,4,32
23,The Embarcadero at Steuart St,30,San Francisco Caltrain (Townsend St at 4th St),5421,Subscriber,Male,No,1.69,Friday,6,58
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),5218,Subscriber,Male,No,1.51,Wednesday,7,38
17,Embarcadero BART Station (Beale St at Market St),323,Broadway at Kearny,5454,Subscriber,Male,No,1.01,Sunday,5,45
274,Oregon St at Adeline St,239,Bancroft Way at Telegraph Ave,1376,Subscriber,Female,No,1.47,Monday,13,22
92,Mission Bay Kids Park,285,Webster St at O'Farrell St,5319,Subscriber,Male,No,3.58,Tuesday,21,40
86,Market St at Dolores St,84,Duboce Park,5340,Subscriber,Female,No,0.61,Monday,5,35
13,Commercial St at Montgomery St,21,Montgomery St BART Station (Market St at 2nd St),1537,Subscriber,Female,No,0.54,Monday,5,38
145,29th St at Church St,58,Market St at 10th St,6394,Subscriber,Male,No,3.75,Wednesday,13,35
6,The Embarcadero at Sansome St,15,San Francisco Ferry Building (Harry Bridges Plaza),5369,Subscriber,Female,No,1.31,Saturday,8,30
133,Valencia St at 22nd St,147,29th St at Tiffany Ave,4741,Subscriber,Male,No,1.24,Saturday,6,43
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),11,Davis St at Jackson St,6434,Subscriber,Male,No,2.31,Thursday,12,53
124,19th St at Florida St,137,Jersey St at Castro St,4923,Subscriber,Male,No,2.32,Sunday,13,27
61,Howard St at 8th St,90,Townsend St at 7th St,6498,Subscriber,Female,No,0.97,Tuesday,4,31
25,Howard St at 2nd St,49,S Park St at 3rd St,5128,Subscriber,Female,No,0.78,Tuesday,5,35
75,Market St at Franklin St,369,Hyde St at Post St,3688,Customer,Male,No,1.56,Friday,21,30
66,3rd St at Townsend St,369,Hyde St at Post St,5588,Subscriber,Male,Yes,2.31,Thursday,16,41
157,65th St at Hollis St,259,Addison St at Fourth St,5119,Customer,Female,No,2.28,Sunday,46,31
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,4814,Subscriber,Male,No,1.35,Thursday,7,30
350,8th St at Brannan St,109,17th St at Valencia St,4370,Subscriber,Female,No,1.68,Wednesday,11,33
47,4th St at Harrison St,92,Mission Bay Kids Park,1597,Subscriber,Female,No,1.13,Wednesday,8,29
239,Bancroft Way at Telegraph Ave,256,Hearst Ave at Euclid Ave,4510,Subscriber,Male,No,0.72,Wednesday,5,32
102,Irwin St at 8th St,6,The Embarcadero at Sansome St,5358,Subscriber,Male,No,4.23,Friday,16,31
100,Bryant St at 15th St,139,Garfield Square (25th St at Harrison St),6220,Subscriber,Male,No,1.79,Tuesday,14,47
141,Valencia St at Cesar Chavez St,60,8th St at Ringold St,1353,Subscriber,Male,No,3.1,Wednesday,19,52
66,3rd St at Townsend St,27,Beale St at Harrison St,5912,Subscriber,Male,No,1.04,Thursday,4,34
86,Market St at Dolores St,20,Mechanics Monument Plaza (Market St at Bush St),5351,Customer,Male,No,3.46,Tuesday,14,37
343,Bryant St at 2nd St,15,San Francisco Ferry Building (Harry Bridges Plaza),4369,Subscriber,Female,No,1.36,Tuesday,8,51
66,3rd St at Townsend St,97,14th St at Mission St,4344,Subscriber,Male,No,2.67,Wednesday,11,45
23,The Embarcadero at Steuart St,9,Broadway at Battery St,1445,Subscriber,Male,No,1.17,Monday,6,49
107,17th St at Dolores St,349,Howard St at Mary St,3446,Subscriber,Other,No,2.71,Tuesday,15,23
25,Howard St at 2nd St,60,8th St at Ringold St,6268,Subscriber,Male,No,1.79,Friday,7,31
43,San Francisco Public Library (Grove St at Hyde St),31,Raymond Kimbell Playground,2033,Subscriber,Male,No,1.73,Thursday,7,31
58,Market St at 10th St,21,Montgomery St BART Station (Market St at 2nd St),5402,Customer,Male,No,2.05,Thursday,9,26
219,Marston Campbell Park,7,Frank H Ogawa Plaza,5879,Subscriber,Female,No,0.95,Thursday,4,39
166,College Ave at Alcatraz Ave,213,32nd St at Adeline St,1375,Subscriber,Female,Yes,3.96,Tuesday,23,45
7,Frank H Ogawa Plaza,219,Marston Campbell Park,3440,Subscriber,Female,No,0.95,Thursday,4,28
58,Market St at 10th St,44,Civic Center/UN Plaza BART Station (Market St at McAllister St),4850,Subscriber,Female,No,0.7,Friday,4,58
223,16th St Mission BART Station 2,127,Valencia St at 21st St,5272,Subscriber,Male,No,0.9,Thursday,5,35
43,San Francisco Public Library (Grove St at Hyde St),77,11th St at Natoma St,6104,Subscriber,Male,No,0.59,Sunday,5,44
324,Union Square (Powell St at Post St),343,Bryant St at 2nd St,5274,Subscriber,Male,No,1.43,Friday,8,26
58,Market St at 10th St,126,Esprit Park,6133,Subscriber,Male,No,2.88,Tuesday,15,33
178,Broadway at 30th St,158,Shattuck Ave at Telegraph Ave,5648,Subscriber,Male,No,1.55,Thursday,9,60
144,Precita Park,124,19th St at Florida St,5387,Customer,Male,No,1.46,Tuesday,6,32
60,8th St at Ringold St,93,4th St at Mission Bay Blvd S,5032,Subscriber,Male,No,1.67,Friday,10,36
112,Harrison St at 17th St,97,14th St at Mission St,2549,Subscriber,Male,No,0.79,Friday,5,31
255,Virginia St at Shattuck Ave,239,Bancroft Way at Telegraph Ave,5119,Subscriber,Male,No,1.28,Tuesday,8,22
133,Valencia St at 22nd St,109,17th St at Valencia St,5166,Subscriber,Male,No,0.9,Thursday,3,28
6,The Embarcadero at Sansome St,23,The Embarcadero at Steuart St,4574,Subscriber,Male,No,1.83,Monday,7,36
17,Embarcadero BART Station (Beale St at Market St),93,4th St at Mission Bay Blvd S,5213,Subscriber,Male,Yes,2.48,Thursday,15,23
109,17th St at Valencia St,223,16th St Mission BART Station 2,5220,Subscriber,Female,No,0.23,Wednesday,8,37
24,Spear St at Folsom St,6,The Embarcadero at Sansome St,5273,Subscriber,Male,No,2.02,Friday,20,20
114,Rhode Island St at 17th St,81,Berry St at 4th St,5322,Subscriber,Male,No,1.51,Tuesday,7,31
355,23rd St at Tennessee St,27,Beale St at Harrison St,4370,Subscriber,Female,No,3.65,Thursday,19,26
